5,67,17,8,18,75,0,57,26,32
0,5,32,39,7,11,5,21,62,59
384,690,10,4,1,168,20,7,80,2
5,1,29,9,35,0,189,0,26,8
1,2,3,23,1,1,0,11,6,0
108,15,29,21,15,19,5,36,44,0
177,8,8,3,17,100,31,20,5,5
13,0,36,0,1,9,6,55,1,56
58,51,9,17,0,4,1,26,1,12
45,29,68,0,167,100,18,147,1,450
17,351,8,914,36,93,1,700,635,3
3,43,14,3,9,6,8,7,5,1
2,59,0,127,5,6,33,0,222,0
35,288,73,4,114,138,88,210,27,0
5,7,12,10,1,0,48,13,1,13
0,8,20,1,2,0,4,2,7,1
18,27,14,0,24,4,21,7,4,56
257,413,0,207,120,17,85,12,11,216
3,61,19,83,35,114,9,84,3,44
15,155,237,101,89,4,90,12,307,16
48,45,7,36,13,6,4,23,15,9
4,116,3,13,46,53,0,64,74,40
6,4,1,68,4,4,13,5,26,15
0,1,17,20,25,3,5,52,0,38
2,94,216,78,806,548,110,1404,597,68
0,25,10,9,124,24,5,5,13,53
579,13,35,0,153,2,0,2,16,57
190,162,178,83,126,12,322,40,81,480
357,198,17,263,3,53,121,6,70,101
1,6,2,0,22,4,0,3,2,7
18,47,0,109,21,46,0,1,70,108
0,5,2,3,3,1,9,2,6,46
243,29,110,35,119,0,2,13,42,0
3,71,53,120,7,3,182,11,11,15
3,0,3,2,0,13,0,6,3,16
27,30,95,75,167,10,214,59,21,2
14,1,1,0,11,5,0,1,1,14
0,8,11,45,78,118,122,44,7,4
0,120,27,104,5,6,3,9,0,56
7,7,0,0,1,25,0,1,4,0
1,1,20,0,21,0,2,22,40,37
0,0,3,22,13,0,0,8,1,1
1,37,67,20,37,18,34,26,42,16
3,14,11,53,9,1,12,4,23,44
21,11,123,3,0,32,4,83,31,57
28,62,0,14,39,39,8,2,22,0
2,6,1,3,2,11,2,13,35,3
1,0,1,0,9,6,12,11,9,0
145,16,0,582,171,18,152,95,132,4
140,52,2,3,6,1,0,50,2,3
96,8,87,1,581,4,14,28,43,200
18,1,3,1,4,89,75,9,59,196
69,77,200,66,316,441,33,24,39,390
38,5,11,69,26,277,104,266,10,18
4,4,11,3,6,2,5,13,0,0
0,1,10,28,46,11,13,0,0,2
3,86,132,14,16,1,202,44,5,0
42,11,13,47,9,18,4,26,2,1
16,5,6,0,3,8,16,1,3,7
38,27,11,2,8,6,5,5,0,1
3,18,38,41,1,18,8,17,9,7
40,12,144,62,10,48,31,5,85,595
1,3,6,79,6,2,11,42,1,5
0,14,6,0,1,32,6,7,0,3
4,3,9,8,0,39,0,0,10,3
1,3,9,1,4,0,0,21,0,16
45,116,15,29,62,23,62,40,67,28
2,11,3,3,2,0,4,1,20,4
0,32,176,9,39,0,12,28,57,9
23,0,2,14,8,0,5,0,49,15
16,11,8,4,68,8,14,3,20,6
102,465,11,71,46,12,40,189,0,27
287,5,0,8,79,132,352,82,23,18
92,388,168,0,98,176,121,43,141,57
14,4,13,19,59,160,15,75,26,16
4,0,1,23,3,0,0,14,6,0
57,5,33,70,0,110,4,3,83,4
8,11,155,51,16,67,38,24,17,233
15,6,6,4,78,75,0,109,2,11
9,1,1,17,2,2,13,2,5,0
9,1,43,2,7,2,0,0,17,3
111,72,1,101,65,4,142,116,147,46
52,1,40,22,7,59,4,7,1,13
9,35,15,9,14,4,0,4,8,2
98,19,89,103,10,3,0,38,33,72
90,41,12,19,13,90,16,22,6,3
150,266,25,26,22,79,318,58,44,560
21,82,34,9,3,0,9,10,28,3
6,3,10,16,1,2,2,3,2,9
0,14,3,0,7,9,4,113,72,49
55,6,7,69,160,8,0,5,6,196
7,55,446,78,6,152,3,14,60,9
1,153,20,24,34,48,56,58,7,2
595,78,6,530,42,713,138,153,111,134
199,3,64,1,28,214,394,25,66,47
60,9,52,132,117,0,112,117,129,43
199,13,7,17,14,7,1,1,2,115
46,7,0,24,0,36,1,8,70,136
2,241,240,56,28,193,0,217,283,124
37,41,209,36,289,6,26,2,5,6
